,11-16,model
0,4348639,Ford F-Series
1,3019031,Chevrolet Silverado
2,2368459,Toyota Camry
3,1869060,Nissan Altima
4,1731067,Ford Escape
5,2041305,Honda Accord
6,1657480,Ford Fusion
7,1406252,Chevrolet Cruze
8,1289869,Hyundai Sonata
9,1903616,Honda Civic
10,1841930,Honda CR-V
11,1227607,Chevrolet Malibu
12,1412113,Chevrolet Equinox
13,1308355,Hyundai Elantra
14,1247110,Ford Focus
15,1148396,GMC Sierra
16,1200060,Ford Explorer
17,1457627,Toyota RAV4
18,1048770,Jeep Grand Cherokee
19,1245936,Nissan Rogue
20,989435,Jeep Wrangler
